time_step,pr_auc,n,pos
35,0.9041077922573412,1341,182
36,0.545145923697421,1708,33
37,0.6192500312016482,498,40
38,0.7389486917065309,756,111
39,0.640003411850329,1183,81
40,0.5755718380276165,1211,112
41,0.7051195493615648,1132,116
42,0.8276166810165665,2154,239
43,0.04352962196974726,1370,24
44,0.018428191913395245,1591,24
45,0.008173750297475232,1221,5
46,0.005046397664477114,712,2
47,0.042398758727271176,846,22
48,0.14585970807083332,471,36
49,0.11524999652052256,476,56
