run,train_recent_steps,test_pr_auc,test_roc_auc,val_pr_auc_best,late_weighted_pr_auc_43_49,early_weighted_pr_auc_35_42,selected_threshold,test_precision_at_threshold,test_recall_at_threshold,threshold_mode
recent_12,12,0.6195367112208997,0.8847580029312728,0.8480318139582782,0.042332609393519356,0.7356765409115192,0.7674435973167419,0.5246504782928624,0.6583564173591875,target_precision
recent_16,16,0.6295520143174405,0.8831315913579756,0.8562829332271352,0.040019928242935425,0.7470779481368075,0.8003646731376648,0.5034916201117319,0.6657433056325023,target_precision
recent_8,8,0.608401057206868,0.8757400824289435,0.8668440454221313,0.03917396297465124,0.7057570576398083,0.7992141842842102,0.4346426271732131,0.6232686980609419,target_precision
recent_0,0,0.6502285543173232,0.8824116576537223,0.8519351107769193,0.038664186024832514,0.7797721047494165,0.7973313331604004,0.48677248677248675,0.6795937211449676,target_precision
