time_step,pr_auc,n,pos
35,0.8711671475620173,1341,182
36,0.6056740758853979,1708,33
37,0.6644348023456905,498,40
38,0.79546055413582,756,111
39,0.790207832786615,1183,81
40,0.6200131245728177,1211,112
41,0.7492739210699542,1132,116
42,0.7943901515416604,2154,239
43,0.024981342585273826,1370,24
44,0.014915721273960967,1591,24
45,0.00890542538616649,1221,5
46,0.007163255592574964,712,2
47,0.047018462437289285,846,22
48,0.15506199730228298,471,36
49,0.1670740112289572,476,56
