time_step,pr_auc,n,pos
35,0.9566484530560856,1341,182
36,0.7346293611141677,1708,33
37,0.6470407746361424,498,40
38,0.8134613926587628,756,111
39,0.8381469994036049,1183,81
40,0.7008134759943675,1211,112
41,0.8615567304257387,1132,116
42,0.8527400226542505,2154,239
43,0.059260700881118476,1370,24
44,0.023982115970072188,1591,24
45,0.008605625661539489,1221,5
46,0.04576502732240437,712,2
47,0.0399080120092987,846,22
48,0.1597572300296507,471,36
49,0.15841980061771527,476,56
