time_step,pr_auc,n,pos
35,0.695517017203044,1341,182
36,0.19463003566035447,1708,33
37,0.2858321996765201,498,40
38,0.33436716788873844,756,111
39,0.35725327262121387,1183,81
40,0.3344617866823215,1211,112
41,0.3247440287373033,1132,116
42,0.544785591169635,2154,239
43,0.016706695039134464,1370,24
44,0.02963809817376553,1591,24
45,0.01147296682465946,1221,5
46,0.5263157894736842,712,2
47,0.04049440666172493,846,22
48,0.22705789915108368,471,36
49,0.2021102932706635,476,56
