time_step,pr_auc,n,pos
35,0.9152074895547734,1341,182
36,0.702970118869345,1708,33
37,0.6854920134080771,498,40
38,0.7539950865680052,756,111
39,0.7071274004917443,1183,81
40,0.6293892994157033,1211,112
41,0.6744626055435009,1132,116
42,0.8246350074856973,2154,239
43,0.039161780869711046,1370,24
44,0.015090440142333898,1591,24
45,0.006027990424420319,1221,5
46,0.005564896161405669,712,2
47,0.04175195972061305,846,22
48,0.1519142278667206,471,36
49,0.15544065151776315,476,56
