time_step,pr_auc,n,pos
35,0.988350249087016,1341,182
36,0.9824214169668714,1708,33
37,0.8345576594687176,498,40
38,0.9529422977126171,756,111
39,0.9491070844884938,1183,81
40,0.7446699606143912,1211,112
41,0.9615580559686527,1132,116
42,0.8858286390474731,2154,239
43,0.022240361576835465,1370,24
44,0.05828737013849858,1591,24
45,0.022763411713989698,1221,5
46,0.515625,712,2
47,0.03563137865147743,846,22
48,0.1316233472951404,471,36
49,0.22370876118122854,476,56
